Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Barbados_FRP_10102022_1741,Dishabituation,Look,Reaction,Away from speaker,8
Barbados_FRP_10102022_1741,Habituation,FVO,Reaction,Distance,24
Barbados_FRP_10102022_1741,Habituation,FVO,Reaction,Other,5
Barbados_FRP_10102022_1741,Habituation,Htlt,Reaction,None,1
Barbados_FRP_10102022_1741,Habituation,Look,Reaction,At speaker,42
Barbados_FRP_10102022_1741,Habituation,Look,Reaction,Away from speaker,15
Barbados_FRP_10102022_1741,Habituation,Voc,Reaction,Contact,6
Barbados_FRP_10102022_1741,Habituation,Voc,Reaction,Distance,7
Barbados_FRP_10102022_1741,Silence_1,Look,Reaction,At speaker,2
Barbados_FRP_10102022_1741,Silence_2,Look,Reaction,At speaker,4
Barbados_FRP_10102022_1741,Silence_2,Look,Reaction,Away from speaker,1
Barbados_FRP_10102022_1741,Silence_3,FVO,Reaction,Distance,4
Barbados_FRP_10102022_1741,Silence_3,Look,Reaction,At speaker,9
Barbados_FRP_10102022_1741,Silence_3,Look,Reaction,Away from speaker,4
Barbados_FRP_10102022_1741,Silence_3,Voc,Reaction,Contact,1
Batate_FC_12102022_1040,Dishabituation,FVO,Reaction,Distance,5
Batate_FC_12102022_1040,Dishabituation,FVO,Reaction,Other,6
Batate_FC_12102022_1040,Dishabituation,HSH,Reaction,None,4
Batate_FC_12102022_1040,Dishabituation,Htlt,Reaction,None,1
Batate_FC_12102022_1040,Dishabituation,Look,Reaction,At speaker,29
Batate_FC_12102022_1040,Dishabituation,Look,Reaction,Away from speaker,31
Batate_FC_12102022_1040,Dishabituation,Voc,Reaction,Contact,12
Batate_FC_12102022_1040,Habituation,FVO,Reaction,Distance,11
Batate_FC_12102022_1040,Habituation,FVO,Reaction,Other,5
Batate_FC_12102022_1040,Habituation,Htlt,Reaction,None,5
Batate_FC_12102022_1040,Habituation,Look,Reaction,At speaker,30
Batate_FC_12102022_1040,Habituation,Look,Reaction,Away from speaker,17
Batate_FC_12102022_1040,Habituation,Voc,Reaction,Contact,16
Batate_FC_12102022_1040,Silence_1,FVO,Reaction,Distance,12
Batate_FC_12102022_1040,Silence_1,FVO,Reaction,Other,18
Batate_FC_12102022_1040,Silence_1,Htlt,Reaction,None,1
Batate_FC_12102022_1040,Silence_1,Look,Reaction,At speaker,14
Batate_FC_12102022_1040,Silence_1,Look,Reaction,Away from speaker,4
Batate_FC_12102022_1040,Silence_2,FVO,Reaction,Distance,2
Batate_FC_12102022_1040,Silence_2,FVO,Reaction,Other,3
Batate_FC_12102022_1040,Silence_2,Look,Reaction,At speaker,4
Batate_FC_12102022_1040,Silence_2,Look,Reaction,Away from speaker,6
Batate_FC_12102022_1040,Silence_2,Voc,Reaction,Contact,2
Batate_FC_12102022_1040,Silence_3,FVO,Reaction,Distance,1
Batate_FC_12102022_1040,Silence_3,HSH,Reaction,None,1
Batate_FC_12102022_1040,Silence_3,Look,Reaction,At speaker,1
